Number of tests,14-Dec,"3,673"
Number of tests,15-Dec,"2,983"
Number of tests,16-Dec,"2,570"
Number of tests,17-Dec,"2,106"
Number of tests,18-Dec,"3,803"
Number of tests,19-Dec,156
Number of tests,20-Dec,59
Number of student tests,14-Dec,"2,398"
Number of student tests,15-Dec,"1,688"
Number of student tests,16-Dec,"1,188"
Number of student tests,17-Dec,"1,381"
Number of student tests,18-Dec,"2,246"
Number of student tests,19-Dec,95
Number of student tests,20-Dec,14
Number of employee tests,14-Dec,"1,275"
Number of employee tests,15-Dec,"1,295"
Number of employee tests,16-Dec,"1,382"
Number of employee tests,17-Dec,725
Number of employee tests,18-Dec,"1,557"
Number of employee tests,19-Dec,61
Number of employee tests,20-Dec,45
"New Confirmed Positive, Total",14-Dec,4
"New Confirmed Positive, Total",15-Dec,2
"New Confirmed Positive, Total",16-Dec,5
"New Confirmed Positive, Total",17-Dec,4
"New Confirmed Positive, Total",18-Dec,4
"New Confirmed Positive, Total",19-Dec,5
"New Confirmed Positive, Total",20-Dec,3
Number of tests,Total,"15,350"
Number of student tests,Total,"9,010"
Number of employee tests,Total,"6,340"
New confirmed positives,Total,27
