Number of tests,11/27/2020,"2,467"
Number of tests,11/28/2020,"1,019"
Number of tests,11/29/2020,"1,156"
Number of tests,11/30/2020,"3,681"
Number of tests,12/01/2020,"3,095"
Number of tests,12/02/2020,"2,669"
Number of student tests,11/27/2020,"2,326"
Number of student tests,11/28/2020,931
Number of student tests,11/29/2020,"1,104"
Number of student tests,11/30/2020,"2,379"
Number of student tests,12/01/2020,"1,819"
Number of student tests,12/02/2020,"1,278"
Number of employee tests,11/27/2020,141
Number of employee tests,11/28/2020,88
Number of employee tests,11/29/2020,52
Number of employee tests,11/30/2020,"1,302"
Number of employee tests,12/01/2020,"1,276"
Number of employee tests,12/02/2020,"1,391"
"New Confirmed Positive, Total",11/27/2020,1
"New Confirmed Positive, Total",11/28/2020,0
"New Confirmed Positive, Total",11/29/2020,3
"New Confirmed Positive, Total",11/30/2020,4
"New Confirmed Positive, Total",12/01/2020,9
"New Confirmed Positive, Total",12/02/2020,3
Number of tests,Total,"14,087"
Number of student tests,Total,"9,837"
Number of employee tests,Total,"4,250"
New confirmed positives,Total,20
