Number of tests,8-Oct,"5,861"
Number of tests,9-Oct,"5,965"
Number of tests,10-Oct,"2,768"
Number of tests,11-Oct,"3,052"
Number of tests,12-Oct,"6,216"
Number of tests,13-Oct,"5,546"
Number of tests,14-Oct,"5,230"
Number of student tests,8-Oct,"4,723"
Number of student tests,9-Oct,"4,701"
Number of student tests,10-Oct,"2,649"
Number of student tests,11-Oct,"2,951"
Number of student tests,12-Oct,"5,045"
Number of student tests,13-Oct,"4,324"
Number of student tests,14-Oct,"3,855"
Number of employee tests,8-Oct,"1,138"
Number of employee tests,9-Oct,"1,264"
Number of employee tests,10-Oct,119
Number of employee tests,11-Oct,101
Number of employee tests,12-Oct,"1,171"
Number of employee tests,13-Oct,"1,222"
Number of employee tests,14-Oct,"1,375"
"New Confirmed Positive, Total",8-Oct,1
"New Confirmed Positive, Total",9-Oct,0
"New Confirmed Positive, Total",10-Oct,0
"New Confirmed Positive, Total",11-Oct,0
"New Confirmed Positive, Total",12-Oct,0
"New Confirmed Positive, Total",13-Oct,0
"New Confirmed Positive, Total",14-Oct,2
Number of tests,Total,"34,638"
Number of student tests,Total,"28,248"
Number of employee tests,Total,"6,390"
"New Confirmed Positive, Total",Total,3
