Number of tests,29-Sep,"5,716"
Number of tests,30-Sep,"5,501"
Number of tests,1-Oct,"5,902"
Number of tests,2-Oct,"5,882"
Number of tests,3-Oct,"2,924"
Number of tests,4-Oct,"2,981"
Number of tests,5-Oct,"6,410"
Number of student tests,29-Sep,"4,479"
Number of student tests,30-Sep,"4,105"
Number of student tests,1-Oct,"4,787"
Number of student tests,2-Oct,"4,632"
Number of student tests,3-Oct,"2,795"
Number of student tests,4-Oct,"2,873"
Number of student tests,5-Oct,"5,146"
Number of employee tests,29-Sep,"1,237"
Number of employee tests,30-Sep,"1,396"
Number of employee tests,1-Oct,"1,115"
Number of employee tests,2-Oct,"1,250"
Number of employee tests,3-Oct,129
Number of employee tests,4-Oct,108
Number of employee tests,5-Oct,"1,264"
"New Confirmed Positive, Total",29-Sep,1
"New Confirmed Positive, Total",30-Sep,0
"New Confirmed Positive, Total",1-Oct,0
"New Confirmed Positive, Total",2-Oct,2
"New Confirmed Positive, Total",3-Oct,0
"New Confirmed Positive, Total",4-Oct,0
"New Confirmed Positive, Total",5-Oct,2
Number of tests,Total,"35,316"
Number of student tests,Total,"28,817"
Number of employee tests,Total,"6,499"
"New Confirmed Positive, Total",Total,5
