Number of tests,10-Nov,"5,574"
Number of tests,11-Nov,"5,350"
Number of tests,12-Nov,"5,806"
Number of tests,13-Nov,"5,975"
Number of tests,14-Nov,"2,883"
Number of tests,15-Nov,"2,803"
Number of tests,16-Nov,"5,885"
Number of student tests,10-Nov,"4,342"
Number of student tests,11-Nov,"3,930"
Number of student tests,12-Nov,"4,674"
Number of student tests,13-Nov,"4,551"
Number of student tests,14-Nov,"2,719"
Number of student tests,15-Nov,"2,691"
Number of student tests,16-Nov,"4,534"
Number of employee tests,10-Nov,"1,232"
Number of employee tests,11-Nov,"1,420"
Number of employee tests,12-Nov,"1,132"
Number of employee tests,13-Nov,"1,424"
Number of employee tests,14-Nov,164
Number of employee tests,15-Nov,112
Number of employee tests,16-Nov,"1,351"
"New Confirmed Positive, Total",10-Nov,
"New Confirmed Positive, Total",11-Nov,6
"New Confirmed Positive, Total",12-Nov,14
"New Confirmed Positive, Total",13-Nov,9
"New Confirmed Positive, Total",14-Nov,6
"New Confirmed Positive, Total",15-Nov,2
"New Confirmed Positive, Total",16-Nov,2
Number of tests,Total,"34,276"
Number of student tests,Total,"27,441"
Number of employee tests,Total,"6,835"
New confirmed positives,Total,39
