Number of tests,2-Nov,"6,247"
Number of tests,3-Nov,"5,601"
Number of tests,4-Nov,"5,291"
Number of tests,5-Nov,"5,855"
Number of tests,6-Nov,"5,734"
Number of tests,7-Nov,"2,777"
Number of tests,8-Nov,"2,992"
Number of student tests,2-Nov,"5,013"
Number of student tests,3-Nov,"4,392"
Number of student tests,4-Nov,"3,911"
Number of student tests,5-Nov,"4,651"
Number of student tests,6-Nov,"4,472"
Number of student tests,7-Nov,"2,656"
Number of student tests,8-Nov,"2,896"
Number of employee tests,2-Nov,"1,234"
Number of employee tests,3-Nov,"1,209"
Number of employee tests,4-Nov,"1,380"
Number of employee tests,5-Nov,"1,204"
Number of employee tests,6-Nov,"1,262"
Number of employee tests,7-Nov,121
Number of employee tests,8-Nov,96
"New Confirmed Positive, Total",2-Nov,1
"New Confirmed Positive, Total",3-Nov,2
"New Confirmed Positive, Total",4-Nov,5
"New Confirmed Positive, Total",5-Nov,2
"New Confirmed Positive, Total",6-Nov,2
"New Confirmed Positive, Total",7-Nov,1
"New Confirmed Positive, Total",8-Nov,1
Number of tests,Total,"34,497"
Number of student tests,Total,"27,991"
Number of employee tests,Total,"6,506"
New confirmed positives,Total,14
