Number of tests,10/13/20,"5,546"
Number of tests,10/14/20,"5,230"
Number of tests,10/15/20,"5,955"
Number of tests,10/16/20,"5,852"
Number of tests,10/17/20,"2,877"
Number of tests,10/18/20,"2,932"
Number of tests,10/19/20,"6,258"
Number of student tests,10/13/20,"4,324"
Number of student tests,10/14/20,"3,855"
Number of student tests,10/15/20,"4,867"
Number of student tests,10/16/20,"4,596"
Number of student tests,10/17/20,"2,747"
Number of student tests,10/18/20,"2,828"
Number of student tests,10/19/20,"5,056"
Number of employee tests,10/13/20,"1,222"
Number of employee tests,10/14/20,"1,375"
Number of employee tests,10/15/20,"1,088"
Number of employee tests,10/16/20,"1,256"
Number of employee tests,10/17/20,130
Number of employee tests,10/18/20,104
Number of employee tests,10/19/20,"1,202"
"New Confirmed Positive, Total",10/13/20,0
"New Confirmed Positive, Total",10/14/20,2
"New Confirmed Positive, Total",10/15/20,3
"New Confirmed Positive, Total",10/16/20,1
"New Confirmed Positive, Total",10/17/20,1
"New Confirmed Positive, Total",10/18/20,0
"New Confirmed Positive, Total",10/19/20,3
Number of tests,Total,"34,650"
Number of student tests,Total,"28,273"
Number of employee tests,Total,"6,377"
"New Confirmed Positive, Total",Total,10
