Number of tests,24-Nov,"3,821"
Number of tests,25-Nov,39
Number of tests,26-Nov,0
Number of tests,27-Nov,"2,468"
Number of tests,28-Nov,"1,021"
Number of tests,29-Nov,"1,156"
Number of tests,30-Nov,"3,686"
Number of student tests,24-Nov,"2,296"
Number of student tests,25-Nov,22
Number of student tests,26-Nov,
Number of student tests,27-Nov,"2,326"
Number of student tests,28-Nov,931
Number of student tests,29-Nov,"1,104"
Number of student tests,30-Nov,"2,379"
Number of employee tests,24-Nov,"1,525"
Number of employee tests,25-Nov,17
Number of employee tests,26-Nov,
Number of employee tests,27-Nov,142
Number of employee tests,28-Nov,90
Number of employee tests,29-Nov,52
Number of employee tests,30-Nov,"1,307"
"New Confirmed Positive, Total",24-Nov,3
"New Confirmed Positive, Total",25-Nov,3
"New Confirmed Positive, Total",26-Nov,4
"New Confirmed Positive, Total",27-Nov,1
"New Confirmed Positive, Total",28-Nov,0
"New Confirmed Positive, Total",29-Nov,3
"New Confirmed Positive, Total",30-Nov,4
Number of tests,Total,"12,191"
Number of student tests,Total,"9,058"
Number of employee tests,Total,"3,133"
New confirmed positives,Total,18
