Number of tests,5-Oct,"6,410"
Number of tests,6-Oct,"5,642"
Number of tests,7-Oct,"5,356"
Number of tests,8-Oct,"5,861"
Number of tests,9-Oct,"5,965"
Number of tests,10-Oct,"2,768"
Number of tests,11-Oct,"3,052"
Number of student tests,5-Oct,"5,146"
Number of student tests,6-Oct,"4,380"
Number of student tests,7-Oct,"3,927"
Number of student tests,8-Oct,"4,723"
Number of student tests,9-Oct,"4,701"
Number of student tests,10-Oct,"2,649"
Number of student tests,11-Oct,"2,951"
Number of employee tests,5-Oct,"1,264"
Number of employee tests,6-Oct,"1,262"
Number of employee tests,7-Oct,"1,429"
Number of employee tests,8-Oct,"1,138"
Number of employee tests,9-Oct,"1,264"
Number of employee tests,10-Oct,119
Number of employee tests,11-Oct,101
"New Confirmed Positive, Total",5-Oct,2
"New Confirmed Positive, Total",6-Oct,1
"New Confirmed Positive, Total",7-Oct,1
"New Confirmed Positive, Total",8-Oct,1
"New Confirmed Positive, Total",9-Oct,0
"New Confirmed Positive, Total",10-Oct,0
"New Confirmed Positive, Total",11-Oct,0
Number of tests,Total,"35,054"
Number of student tests,Total,"28,477"
Number of employee tests,Total,"6,577"
"New Confirmed Positive, Total",Total,5
