Number of tests,12-Nov,"5,802"
Number of tests,13-Nov,"5,966"
Number of tests,14-Nov,"2,878"
Number of tests,15-Nov,"2,800"
Number of tests,16-Nov,"5,883"
Number of tests,17-Nov,"5,185"
Number of tests,18-Nov,"4,963"
Number of student tests,12-Nov,"4,670"
Number of student tests,13-Nov,"4,542"
Number of student tests,14-Nov,"2,714"
Number of student tests,15-Nov,"2,688"
Number of student tests,16-Nov,"4,532"
Number of student tests,17-Nov,"3,958"
Number of student tests,18-Nov,"3,579"
Number of employee tests,12-Nov,"1,132"
Number of employee tests,13-Nov,"1,424"
Number of employee tests,14-Nov,164
Number of employee tests,15-Nov,112
Number of employee tests,16-Nov,"1,351"
Number of employee tests,17-Nov,"1,227"
Number of employee tests,18-Nov,"1,384"
"New Confirmed Positive, Total",12-Nov,14
"New Confirmed Positive, Total",13-Nov,9
"New Confirmed Positive, Total",14-Nov,6
"New Confirmed Positive, Total",15-Nov,2
"New Confirmed Positive, Total",16-Nov,2
"New Confirmed Positive, Total",17-Nov,1
"New Confirmed Positive, Total",18-Nov,0
Number of tests,Total,"33,477"
Number of student tests,Total,"26,683"
Number of employee tests,Total,"6,794"
New confirmed positives,Total,34
