Number of tests,11/16/20,"5,883"
Number of tests,11/17/20,"5,185"
Number of tests,11/18/20,"4,965"
Number of tests,11/19/20,"5,115"
Number of tests,11/20/20,"5,178"
Number of tests,11/21/20,"2,383"
Number of tests,11/22/20,"2,128"
Number of student tests,11/16/20,"4,532"
Number of student tests,11/17/20,"3,958"
Number of student tests,11/18/20,"3,578"
Number of student tests,11/19/20,"3,970"
Number of student tests,11/20/20,"3,756"
Number of student tests,11/21/20,"2,222"
Number of student tests,11/22/20,"1,982"
Number of employee tests,11/16/20,"1,351"
Number of employee tests,11/17/20,"1,227"
Number of employee tests,11/18/20,"1,387"
Number of employee tests,11/19/20,"1,145"
Number of employee tests,11/20/20,"1,422"
Number of employee tests,11/21/20,161
Number of employee tests,11/22/20,146
"New Confirmed Positive, Total",11/16/20,2
"New Confirmed Positive, Total",11/17/20,1
"New Confirmed Positive, Total",11/18/20,0
"New Confirmed Positive, Total",11/19/20,2
"New Confirmed Positive, Total",11/20/20,11
"New Confirmed Positive, Total",11/21/20,2
"New Confirmed Positive, Total",11/22/20,2
Number of tests,Total,"30,837"
Number of student tests,Total,"23,998"
Number of employee tests,Total,"6,839"
New confirmed positives,Total,20
