Number of tests,8/31/20,"1,484"
Number of tests,9/1/20,"1,213"
Number of tests,9/2/20,348
Number of tests,9/3/20,"4,621"
Number of tests,9/4/20,"4,954"
Number of tests,9/5/20,"2,840"
Number of tests,9/6/20,"2,893"
Number of student tests,8/31/20,"1,433"
Number of student tests,9/1/20,"1,125"
Number of student tests,9/2/20,317
Number of student tests,9/3/20,"4,213"
Number of student tests,9/4/20,"4,094"
Number of student tests,9/5/20,"2,772"
Number of student tests,9/6/20,"2,855"
Number of employee tests,8/31/20,51
Number of employee tests,9/1/20,88
Number of employee tests,9/2/20,31
Number of employee tests,9/3/20,408
Number of employee tests,9/4/20,860
Number of employee tests,9/5/20,68
Number of employee tests,9/6/20,38
"New Confirmed Positive, Total",8/31/20,5
"New Confirmed Positive, Total",9/1/20,7
"New Confirmed Positive, Total",9/2/20,12
"New Confirmed Positive, Total",9/3/20,12
"New Confirmed Positive, Total",9/4/20,14
"New Confirmed Positive, Total",9/5/20,6
"New Confirmed Positive, Total",9/6/20,5
Number of tests,Total,"18,353"
Number of student tests,Total,"16,809"
Number of employee tests,Total,"1,544"
"New Confirmed Positive, Total",Total,61
