Number of tests,9/8/20,"4,748"
Number of tests,9/9/20,"3,876"
Number of tests,9/10/20,"5,145"
Number of tests,9/11/20,"5,136"
Number of tests,9/12/20,"2,793"
Number of tests,9/13/20,"2,924"
Number of tests,9/14/20,"5,987"
Number of student tests,9/8/20,"4,223"
Number of student tests,9/9/20,"3,778"
Number of student tests,9/10/20,"4,663"
Number of student tests,9/11/20,"4,281"
Number of student tests,9/12/20,"2,715"
Number of student tests,9/13/20,"2,881"
Number of student tests,9/14/20,"4,915"
Number of employee tests,9/8/20,525
Number of employee tests,9/9/20,98
Number of employee tests,9/10/20,482
Number of employee tests,9/11/20,855
Number of employee tests,9/12/20,78
Number of employee tests,9/13/20,43
Number of employee tests,9/14/20,"1,072"
"New Confirmed Positive, Total",9/8/20,3
"New Confirmed Positive, Total",9/9/20,13
"New Confirmed Positive, Total",9/10/20,6
"New Confirmed Positive, Total",9/11/20,4
"New Confirmed Positive, Total",9/12/20,3
"New Confirmed Positive, Total",9/13/20,0
"New Confirmed Positive, Total",9/14/20,0
Number of tests,Total,"30,608"
Number of student tests,Total,"27,455"
Number of employee tests,Total,"3,153"
"New Confirmed Positive, Total",Total,29
