Number of tests,10/05/2020,"6,410"
Number of tests,10/06/2020,"5,642"
Number of tests,10/07/2020,"5,356"
Number of tests,10/08/2020,"5,861"
Number of tests,10/09/2020,"5,965"
Number of tests,10/10/2020,"2,768"
Number of tests,10/11/2020,"3,052"
Number of student tests,10/05/2020,"5,146"
Number of student tests,10/06/2020,"4,380"
Number of student tests,10/07/2020,"3,927"
Number of student tests,10/08/2020,"4,723"
Number of student tests,10/09/2020,"4,701"
Number of student tests,10/10/2020,"2,649"
Number of student tests,10/11/2020,"2,951"
Number of employee tests,10/05/2020,"1,264"
Number of employee tests,10/06/2020,"1,262"
Number of employee tests,10/07/2020,"1,429"
Number of employee tests,10/08/2020,"1,138"
Number of employee tests,10/09/2020,"1,264"
Number of employee tests,10/10/2020,119
Number of employee tests,10/11/2020,101
"New Confirmed Positive, Total",10/05/2020,2
"New Confirmed Positive, Total",10/06/2020,1
"New Confirmed Positive, Total",10/07/2020,1
"New Confirmed Positive, Total",10/08/2020,1
"New Confirmed Positive, Total",10/09/2020,0
"New Confirmed Positive, Total",10/10/2020,0
"New Confirmed Positive, Total",10/11/2020,0
Number of tests,Total,"35,054"
Number of student tests,Total,"28,477"
Number of employee tests,Total,"6,577"
"New Confirmed Positive, Total",Total,5
